FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
Identifier,1,1,LONG,INV,0,3,NA,0,NA,1
Identifier,1,1,LONG,VAT,NA,NA,3,1,NA,NA
Identifier,1,1,LONG,FVAT,NA,NA,3,1,NA,NA
Identifier,1,1,LONG,BF,0,0,NA,NA,1,1
Identifier,1,1,LONG,BF,0,0,NA,NA,0,1
Identifier,1,1,LONG,BF,1,1,NA,NA,1,1
Identifier,1,1,LONG,BF,1,1,NA,NA,0,1
Identifier,2,1,LONG,INV,0,31,NA,0,NA,1
Identifier,2,1,LONG,VAT,NA,NA,31,1,NA,NA
Identifier,2,1,LONG,FVAT,NA,NA,31,1,NA,NA
Identifier,3,1,LONG,INV,0,31,NA,0,NA,1
Identifier,3,1,LONG,VAT,NA,NA,31,1,NA,NA
Identifier,3,1,LONG,FVAT,NA,NA,31,1,NA,NA
Identifier,4,1,LONG,INV,8,30,NA,1,NA,1
Identifier,4,1,LONG,VOR,8,30,NA,1,NA,NA
Identifier,4,1,LONG,FVOR,8,30,NA,1,NA,NA
Identifier,4,1,LONG,SS,NA,NA,NA,1,NA,NA
Identifier,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
Identifier,5,1,LONG,INV,8,30,NA,1,NA,0
Identifier,5,1,LONG,VOR,8,30,NA,1,NA,NA
Identifier,5,1,LONG,FVOR,8,30,NA,1,NA,NA
Identifier,5,1,LONG,SS,NA,NA,NA,1,NA,NA
Identifier,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
Identifier,6,1,BIN,BF,0,0,NA,NA,1,1
Identifier,6,1,BIN,BF,0,0,NA,NA,0,1
Identifier,6,1,BIN,BF,1,1,NA,NA,1,1
Identifier,6,1,BIN,BF,1,1,NA,NA,0,1
Identifier,6,1,BIN,BF,2,0,NA,NA,1,1
Identifier,6,1,BIN,BF,2,0,NA,NA,0,1
Identifier,6,1,BIN,BF,3,1,NA,NA,1,1
Identifier,6,1,BIN,BF,3,1,NA,NA,0,1
