FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x00
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x55
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0xff
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x88
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x99
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
General,1,1,LONG,VAT,NA,NA,20,1,NA,NA
General,1,1,LONG,FVAT,NA,NA,20,1,NA,NA
General,1,1,LONG,SS,NA,NA,NA,1,NA,NA
General,1,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,1,1,LONG,HV,NA,NA,NA,NA,NA,10
General,2,1,LONG,SS,NA,NA,NA,1,NA,NA
General,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,2,1,LONG,IV,NA,NA,NA,NA,NA,0
General,2,1,LONG,VAT,NA,NA,180,1,NA,NA
General,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
General,4,1,LONG,SS,NA,NA,NA,1,NA,NA
General,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,5,1,LONG,SS,NA,NA,NA,1,NA,NA
General,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
GET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,2,1,LONG,IV,NA,NA,NA,NA,NA,0
GET,2,1,LONG,VAT,NA,NA,180,1,NA,NA
GET,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
GET,4,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
GET,5,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
GET,6,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,2,1,LONG,IV,NA,NA,NA,NA,NA,0
SET,2,1,LONG,VAT,NA,NA,180,1,NA,NA
SET,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
SET,4,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,5,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,6,1,BIN,BF,0,7,NA,NA,-1,1
SAVE,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,2,1,LONG,IV,NA,NA,NA,NA,NA,0
SAVE,2,1,LONG,VAT,NA,NA,180,1,NA,NA
SAVE,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
SAVE,4,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,5,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,6,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,7,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,7,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,2,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,2,1,LONG,IV,NA,NA,NA,NA,NA,0
LOAD,2,1,LONG,VAT,NA,NA,180,1,NA,NA
LOAD,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
LOAD,4,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,5,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,6,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,7,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,7,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,2,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,2,1,LONG,IV,NA,NA,NA,NA,NA,0
REPLY,2,1,LONG,VAT,NA,NA,180,1,NA,NA
REPLY,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
REPLY,4,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,5,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,6,1,BIN,BF,0,7,NA,NA,-1,1
