Test,FaultModel,Status,Times
test32,SensorA,covered,10
test32,SensorB,covered,10
test32,SensorC,covered,10
test32,ActuatorA,covered,10
test32,ActuatorB,covered,10
test32,ActuatorC,covered,10
test33,SensorA,not_covered,0
test33,SensorB,not_covered,0
test33,SensorC,not_covered,0
test33,ActuatorA,covered,10
test33,ActuatorB,covered,10
test33,ActuatorC,covered,10
test34,SensorA,covered,10
test34,SensorB,covered,10
test34,SensorC,covered,10
test34,ActuatorA,not_covered,0
test34,ActuatorB,not_covered,0
test34,ActuatorC,not_covered,0
test35,SensorA,covered,10
test35,SensorB,covered,10
test35,SensorC,covered,10
test35,ActuatorA,covered,10
test35,ActuatorB,covered,10
test35,ActuatorC,covered,10
test36,SensorA,not_covered,0
test36,SensorB,not_covered,0
test36,SensorC,not_covered,0
test36,ActuatorA,covered,10
test36,ActuatorB,covered,10
test36,ActuatorC,covered,10
test37,SensorA,covered,10
test37,SensorB,covered,10
test37,SensorC,covered,10
test37,ActuatorA,not_covered,0
test37,ActuatorB,not_covered,0
test37,ActuatorC,not_covered,0
