FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
General,1,1,LONG,VAT,0,0,20,1,0,0
General,1,1,LONG,SS,0,0,0,1,0,0
General,1,1,LONG,SS,0,0,0,-1,0,0
General,1,1,LONG,HV,0,0,0,0,0,10
General,2,1,LONG,SS,0,0,0,1,0,0
General,2,1,LONG,SS,0,0,0,-1,0,0
General,2,1,LONG,IV,0,0,0,0,0,0
General,2,1,LONG,VAT,0,0,180,1,0,0
GET,2,1,LONG,SS,0,0,0,1,0,0
GET,2,1,LONG,SS,0,0,0,1,0,0
GET,2,1,LONG,IV,0,0,0,0,0,0
GET,2,1,LONG,VAT,0,0,180,1,0,0
GET,6,1,LONG,SS,0,0,0,1,0,0
GET,6,1,LONG,SS,0,0,0,-1,0,0
SET,2,1,LONG,SS,0,0,0,1,0,0
SET,2,1,LONG,SS,0,0,0,1,0,0
SET,2,1,LONG,IV,0,0,0,0,0,0
SET,2,1,LONG,VAT,0,0,180,1,0,0
SET,6,1,BIN,BF,0,7,0,0,-1,1
SAVE,2,1,LONG,SS,0,0,0,1,0,0
SAVE,2,1,LONG,SS,0,0,0,1,0,0
SAVE,2,1,LONG,IV,0,0,0,0,0,0
SAVE,2,1,LONG,VAT,0,0,180,1,0,0
SAVE,6,1,LONG,SS,0,0,0,1,0,0
SAVE,6,1,LONG,SS,0,0,0,-1,0,0
SAVE,7,1,LONG,SS,0,0,0,1,0,0
SAVE,7,1,LONG,SS,0,0,0,-1,0,0
LOAD,2,1,LONG,SS,0,0,0,1,0,0
LOAD,2,1,LONG,SS,0,0,0,1,0,0
LOAD,2,1,LONG,IV,0,0,0,0,0,0
LOAD,2,1,LONG,VAT,0,0,180,1,0,0
LOAD,6,1,LONG,SS,0,0,0,1,0,0
LOAD,6,1,LONG,SS,0,0,0,-1,0,0
LOAD,7,1,LONG,SS,0,0,0,1,0,0
LOAD,7,1,LONG,SS,0,0,0,-1,0,0
