FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
IfStatus,0,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,0,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,0,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,1,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,4,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,4,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,4,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,5,1,BIN,BF,0,0,NA,NA,0,0
IfStatus,5,1,BIN,BF,0,0,NA,NA,0,0
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfStatusFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHK,12,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,14,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,24,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,28,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,30,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,32,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,34,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHK,36,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
IfHKFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
GYTM,0,1,BIN,BF,0,0,NA,NA,0,0
GYTMFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
GYTMFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
GYTMFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
GYTMFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
GYTMFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
MMTX,0,1,BIN,BF,0,0,NA,NA,0,0
MMTX,1,1,BIN,BF,0,0,NA,NA,0,0
MMTXFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
MMTXFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
MMTXFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
MMTXFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
MMTXFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
MMTXFailure,0,1,HEX,SS,NA,NA,NA,0x0,NA,NA
SunSensorTM,0,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
SunSensorTM,2,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
SunSensorTM,4,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
SunSensorTM,6,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
SunSensorTM,8,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
SunSensorTM,10,2,DOUBLE,SS,NA,NA,NA,0,NA,NA
