FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
IfStatus,0,1,BIN,BF,3,3,0,0,-1,1
IfStatus,0,1,BIN,BF,4,4,0,0,-1,1
IfStatus,0,1,BIN,BF,5,7,0,0,-1,1
IfStatus,1,1,BIN,BF,0,4,0,0,-1,1
IfStatus,4,1,BIN,BF,0,2,0,0,-1,1
IfStatus,4,1,BIN,BF,2,4,0,0,-1,1
IfStatus,4,1,BIN,BF,5,7,0,0,-1,1
IfStatus,5,1,BIN,BF,0,1,0,0,-1,1
IfStatus,5,1,BIN,BF,2,7,0,0,-1,1
IfHK,12,2,DOUBLE,VAT,0,0,3.6,0.1,0,0
IfHK,14,2,DOUBLE,VAT,0,0,33.53,0.01,0,0
IfHK,14,2,DOUBLE,VBT,0,0,24,1,0,0
IfHK,24,2,DOUBLE,VAT,0,0,6,1,0,0
IfHK,28,2,DOUBLE,VOR,-20,50,0,1,0,0
IfHK,30,2,DOUBLE,VOR,-20,50,0,1,0,0
IfHK,32,2,DOUBLE,VOR,-20,50,0,1,0,0
IfHK,34,2,DOUBLE,VOR,-20,50,0,1,0,0
IfHK,36,2,DOUBLE,VOR,-20,50,0,1,0,0
GYTM,0,1,BIN,BF,0,0,0,0,-1,1
GYTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x51
GYTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x52
GYTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x53
GYTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x54
GYTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x56
SunSensorTM,0,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,2,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,4,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,6,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,8,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,10,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,12,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,14,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,16,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,18,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,20,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,22,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,24,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,26,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,28,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,30,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,32,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,34,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,36,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,38,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,40,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,42,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,44,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTM,46,2,DOUBLE,VAT,0,0,2.6,0.1,0,0
SunSensorTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x51
SunSensorTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x54
SunSensorTMFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x56
SSTP,0,2,DOUBLE,VOR,-70,100,0,1,0,0
SSTP,2,2,DOUBLE,VOR,-70,100,0,1,0,0
SSTP,4,2,DOUBLE,VOR,-70,100,0,1,0,0
SSTP,6,2,DOUBLE,VOR,-70,100,0,1,0,0
SSTP,8,2,DOUBLE,VOR,-70,100,0,1,0,0
SSTP,10,2,DOUBLE,VOR,-70,100,0,1,0,0
SSTPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x51
SSTPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x54
SSTPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x56
SpaceCraftHK,0,2,DOUBLE,VAT,0,0,3.3,0.1,0,0
SpaceCraftHK,0,2,DOUBLE,VBT,0,0,0,0.1,0,0
SpaceCraftHK,2,2,DOUBLE,VOR,0.5,2.75,0,0.01,0,0
SpaceCraftHK,4,2,DOUBLE,VOR,0,50,0,1,0,0
SpaceCraftHK,6,2,DOUBLE,VOR,0,50,0,1,0,0
SpaceCraftHK,8,2,DOUBLE,VOR,0,50,0,1,0,0
SpaceCraftHK,10,2,DOUBLE,VOR,0,50,0,1,0,0
SpaceCraftHK,12,2,DOUBLE,VOR,9.9253,29.9979,0,0.0001,0,0
SpaceCraftHK,14,2,DOUBLE,VOR,9.9253,29.9979,0,0.0001,0,0
MagnetorquerSetPWMRSP,0,1,BIN,BF,0,0,0,0,0,1
MagnetorquerSetPWMRSP,16,2,DOUBLE,VOR,0.14,0.21,0,0.01,0,0
MagnetorquerSetPWMRSP,18,2,DOUBLE,VOR,0,0.2,0,0.1,0,0
MagnetorquerSetPWMRSP,20,2,DOUBLE,VOR,0.14,0.21,0,0.01,0,0
MagnetorquerSetPWMRSP,22,2,DOUBLE,VOR,0,0.2,0,0.1,0,0
MagnetorquerSetPWMRSP,24,2,DOUBLE,VOR,0.14,0.21,0,0.01,0,0
MagnetorquerSetPWMRSP,26,2,DOUBLE,VOR,0,0.2,0,0.1,0,0
MagnetorquerSetPWMRSP,28,2,DOUBLE,VOR,0.14,0.21,0,0.01,0,0
MagnetorquerSetPWMRSP,30,2,DOUBLE,VOR,0,0.2,0,0.1,0,0
MagnetorquerSetPWMRSP,32,2,DOUBLE,VOR,0.14,0.21,0,0.01,0,0
MagnetorquerSetPWMRSP,34,2,DOUBLE,VOR,0,0.2,0,0.1,0,0
MagnetorquerSetPWMRSP,36,2,DOUBLE,VOR,0.14,0.21,0,0.01,0,0
MagnetorquerSetPWMRSP,38,2,DOUBLE,VOR,0,0.2,0,0.1,0,0
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x51
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x52
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x53
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x54
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x56
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x5d
MagnetorquerSetPWMRSPFailure,0,1,HEX,IV,0x0,0x0,0x0,0x0,0x0,0x5e
