FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
F40,1,1,DOUBLE,HV,NA,NA,NA,NA,NA,100
F40,1,1,DOUBLE,SS,NA,NA,NA,60,NA,NA
F40,1,1,DOUBLE,VAT,NA,NA,604800,1,NA,NA
F40,1,1,DOUBLE,FVAT,NA,NA,604800,1,NA,NA
F40,3,1,DOUBLE,ASA,NA,NA,0,100000,NA,2
F40,3,1,DOUBLE,SS,NA,NA,NA,100000,NA,NA
F40,4,1,DOUBLE,ASA,NA,NA,0,100000,NA,2
F40,4,1,DOUBLE,SS,NA,NA,NA,100000,NA,NA
F40,5,1,DOUBLE,ASA,NA,NA,0,100000,NA,2
F40,5,1,DOUBLE,SS,NA,NA,NA,100000,NA,NA
F40,6,1,DOUBLE,ASA,NA,NA,0,1000,NA,2
F40,6,1,DOUBLE,SS,NA,NA,NA,10000,NA,NA
F40,7,1,DOUBLE,ASA,NA,NA,0,1000,NA,2
F40,7,1,DOUBLE,SS,NA,NA,NA,10000,NA,NA
F40,8,1,DOUBLE,ASA,NA,NA,0,1000,NA,2
F40,8,1,DOUBLE,SS,NA,NA,NA,10000,NA,NA
F40,9,1,DOUBLE,IV,NA,NA,NA,NA,NA,3
F40,9,1,DOUBLE,IV,NA,NA,NA,NA,NA,2
F40,9,1,DOUBLE,IV,NA,NA,NA,NA,NA,0
F40,10,1,DOUBLE,SS,NA,NA,NA,-2,NA,NA
F40,11,1,DOUBLE,SS,NA,NA,NA,20,NA,NA
F40,11,1,DOUBLE,IV,NA,NA,NA,NA,NA,1
F40,11,1,DOUBLE,IV,NA,NA,NA,NA,NA,0
