FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x01
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x02
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x03
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x04
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x06
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x00
STO_GET_HEAD,1,1,HEX,VAT,NA,NA,0x06,0x01,NA,NA
STO_GET_HEAD,1,1,HEX,FVAT,NA,NA,0x06,0x01,NA,NA
STO_GET_HEAD,2,5,BIN,BF,0,39,NA,NA,-1,1
STO_GET_HEAD,2,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_HEAD,3,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_HEAD,4,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_HEAD,5,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_HEAD,6,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x01
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x02
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x03
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x04
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x06
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x00
STO_GET_TAIL,1,1,HEX,VAT,NA,NA,0x06,0x01,NA,NA
STO_GET_TAIL,1,1,HEX,FVAT,NA,NA,0x06,0x01,NA,NA
STO_GET_TAIL,2,5,BIN,BF,0,39,NA,NA,-1,1
STO_GET_TAIL,2,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL,3,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL,4,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL,5,1,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL,6,1,BIN,BF,0,0,NA,NA,-1,1
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x04
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x00
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x01
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x02
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x03
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x06
CRC_COMPUTE,2,1,BIN,BF,0,7,NA,NA,-1,1
CRC_COMPUTE,3,1,BIN,BF,0,7,NA,NA,-1,1
