FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
General,0,1,LONG,0,0,0,0,0,0,0
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x00
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x55
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0xff
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x88
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x99
General,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
General,1,1,LONG,VAT,NA,NA,20,1,NA,NA
General,1,1,LONG,FVAT,NA,NA,20,1,NA,NA
General,1,1,LONG,SS,NA,NA,NA,1,NA,NA
General,1,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,1,1,LONG,HV,NA,NA,NA,NA,NA,10
General,2,1,LONG,SS,NA,NA,NA,1,NA,NA
General,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,2,1,LONG,IV,NA,NA,NA,NA,NA,0
General,2,1,LONG,VAT,NA,NA,180,1,NA,NA
General,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
General,4,1,LONG,SS,NA,NA,NA,1,NA,NA
General,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,5,1,LONG,SS,NA,NA,NA,1,NA,NA
General,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x55
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0xff
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x88
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x99
GET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
GET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,2,1,LONG,IV,NA,NA,NA,NA,NA,0
GET,2,1,LONG,VAT,NA,NA,180,1,NA,NA
GET,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
GET,4,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
GET,5,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
GET,6,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x00
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x55
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x88
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x99
SET,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
SET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,2,1,LONG,IV,NA,NA,NA,NA,NA,0
SET,2,1,LONG,VAT,NA,NA,180,1,NA,NA
SET,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
SET,4,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,5,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,6,1,BIN,BF,0,7,NA,NA,-1,1
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x00
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x55
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0xff
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x88
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
SAVE,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
SAVE,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,2,1,LONG,IV,NA,NA,NA,NA,NA,0
SAVE,2,1,LONG,VAT,NA,NA,180,1,NA,NA
SAVE,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
SAVE,4,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,5,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,6,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,7,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,7,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x00
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x55
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0xff
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x99
LOAD,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
LOAD,2,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,2,1,LONG,IV,NA,NA,NA,NA,NA,0
LOAD,2,1,LONG,VAT,NA,NA,180,1,NA,NA
LOAD,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
LOAD,4,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,5,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,6,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,7,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,7,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x00
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0xff
