FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
General,1,1,LONG,VAT,NA,NA,20,1,NA,NA
General,1,1,LONG,FVAT,NA,NA,20,1,NA,NA
General,1,1,LONG,SS,NA,NA,NA,1,NA,NA
General,1,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,1,1,LONG,HV,NA,NA,NA,NA,NA,10
General,2,1,LONG,SS,NA,NA,NA,1,NA,NA
General,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
General,2,1,LONG,IV,NA,NA,NA,NA,NA,0
General,2,1,LONG,VAT,NA,NA,180,1,NA,NA
General,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
GET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,2,1,LONG,IV,NA,NA,NA,NA,NA,0
GET,2,1,LONG,VAT,NA,NA,180,1,NA,NA
GET,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
GET,6,1,LONG,SS,NA,NA,NA,1,NA,NA
GET,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
SET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SET,2,1,LONG,IV,NA,NA,NA,NA,NA,0
SET,2,1,LONG,VAT,NA,NA,180,1,NA,NA
SET,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
SET,6,1,BIN,BF,0,7,NA,NA,-1,1
SAVE,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,2,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,2,1,LONG,IV,NA,NA,NA,NA,NA,0
SAVE,2,1,LONG,VAT,NA,NA,180,1,NA,NA
SAVE,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
SAVE,6,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
SAVE,7,1,LONG,SS,NA,NA,NA,1,NA,NA
SAVE,7,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,2,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,2,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,2,1,LONG,IV,NA,NA,NA,NA,NA,0
LOAD,2,1,LONG,VAT,NA,NA,180,1,NA,NA
LOAD,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
LOAD,6,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,6,1,LONG,SS,NA,NA,NA,-1,NA,NA
LOAD,7,1,LONG,SS,NA,NA,NA,1,NA,NA
LOAD,7,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,2,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,2,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,2,1,LONG,IV,NA,NA,NA,NA,NA,0
REPLY,2,1,LONG,VAT,NA,NA,180,1,NA,NA
REPLY,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
REPLY,6,1,BIN,BF,0,7,NA,NA,-1,1
