FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
IfStatus,0,1,BIN,BF,3,3,NA,NA,-1,1
IfStatus,0,1,BIN,BF,4,4,NA,NA,-1,1
IfStatus,0,1,BIN,BF,5,7,NA,NA,-1,1
IfStatus,1,1,BIN,BF,0,4,NA,NA,-1,1
IfStatus,4,1,BIN,BF,0,2,NA,NA,-1,1
IfStatus,4,1,BIN,BF,2,4,NA,NA,-1,1
IfStatus,4,1,BIN,BF,5,7,NA,NA,-1,1
IfStatus,5,1,BIN,BF,0,1,NA,NA,-1,1
IfStatus,5,1,BIN,BF,2,7,NA,NA,-1,1
IfHK,12,2,DOUBLE,VAT,NA,NA,3.6,0.1,NA,NA
IfHK,14,2,DOUBLE,VAT,NA,NA,33.53,0.01,NA,NA
IfHK,14,2,DOUBLE,VBT,NA,NA,24,1,NA,NA
IfHK,24,2,DOUBLE,VAT,NA,NA,6,1,NA,NA
IfHK,28,2,DOUBLE,VOR,-20,50,NA,1,NA,NA
IfHK,30,2,DOUBLE,VOR,-20,50,NA,1,NA,NA
IfHK,32,2,DOUBLE,VOR,-20,50,NA,1,NA,NA
IfHK,34,2,DOUBLE,VOR,-20,50,NA,1,NA,NA
IfHK,36,2,DOUBLE,VOR,-20,50,NA,1,NA,NA
GYTM,0,1,BIN,BF,0,0,NA,NA,-1,1
GYTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
GYTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x52
GYTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x53
GYTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x54
GYTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x56
SunSensorTM,0,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,2,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,4,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,6,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,8,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,10,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,12,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,14,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,16,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,18,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,20,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,22,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,24,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,26,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,28,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,30,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,32,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,34,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,36,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,38,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,40,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,42,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,44,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTM,46,2,DOUBLE,VAT,NA,NA,2.6,0.1,NA,NA
SunSensorTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
SunSensorTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x54
SunSensorTMFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x56
SSTP,0,2,DOUBLE,VOR,-70,100,NA,1,NA,NA
SSTP,2,2,DOUBLE,VOR,-70,100,NA,1,NA,NA
SSTP,4,2,DOUBLE,VOR,-70,100,NA,1,NA,NA
SSTP,6,2,DOUBLE,VOR,-70,100,NA,1,NA,NA
SSTP,8,2,DOUBLE,VOR,-70,100,NA,1,NA,NA
SSTP,10,2,DOUBLE,VOR,-70,100,NA,1,NA,NA
SSTPFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
SSTPFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x54
SSTPFailure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x56
SpaceCraftHK,0,2,DOUBLE,VAT,NA,NA,3.3,0.1,NA,NA
SpaceCraftHK,0,2,DOUBLE,VBT,NA,NA,0,0.1,NA,NA
SpaceCraftHK,2,2,DOUBLE,VOR,0.5,2.75,NA,0.01,NA,NA
SpaceCraftHK,4,2,DOUBLE,VOR,0,50,NA,1,NA,NA
SpaceCraftHK,6,2,DOUBLE,VOR,0,50,NA,1,NA,NA
SpaceCraftHK,8,2,DOUBLE,VOR,0,50,NA,1,NA,NA
SpaceCraftHK,10,2,DOUBLE,VOR,0,50,NA,1,NA,NA
SpaceCraftHK,12,2,DOUBLE,VOR,9.9253,29.9979,NA,0.0001,NA,NA
SpaceCraftHK,14,2,DOUBLE,VOR,9.9253,29.9979,NA,0.0001,NA,NA
MagnetorquerSetPWMRSP,0,1,BIN,BF,0,0,NA,NA,0,1
MagnetorquerSetPWMRSP,16,2,DOUBLE,VOR,0.14,0.21,NA,0.01,NA,NA
MagnetorquerSetPWMRSP,18,2,DOUBLE,VOR,0,0.2,NA,0.1,NA,NA
MagnetorquerSetPWMRSP,20,2,DOUBLE,VOR,0.14,0.21,NA,0.01,NA,NA
MagnetorquerSetPWMRSP,22,2,DOUBLE,VOR,0,0.2,NA,0.1,NA,NA
MagnetorquerSetPWMRSP,24,2,DOUBLE,VOR,0.14,0.21,NA,0.01,NA,NA
MagnetorquerSetPWMRSP,26,2,DOUBLE,VOR,0,0.2,NA,0.1,NA,NA
MagnetorquerSetPWMRSP,28,2,DOUBLE,VOR,0.14,0.21,NA,0.01,NA,NA
