FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x02
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x03
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x04
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x10
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x11
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x12
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x13
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1A
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1B
STO_SND_FRM,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1C
STO_SND_FRM,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_SND_FRM,2,4,LONG,HV,NA,NA,NA,NA,NA,60
STO_SND_FRM,2,4,LONG,SS,NA,NA,NA,1,NA,NA
STO_SND_FRM_Failure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x02
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x03
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x01
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x10
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x11
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x12
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x13
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1A
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1B
STO_GET_HEAD,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1C
STO_GET_HEAD,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_GET_HEAD,2,5,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL_Failure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x02
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x03
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x01
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x10
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x11
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x12
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x13
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1A
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1B
STO_GET_TAIL,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1C
STO_GET_TAIL,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
STO_GET_TAIL,2,5,BIN,BF,0,0,NA,NA,-1,1
STO_GET_TAIL_Failure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x02
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x03
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x01
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x05
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x10
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x11
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x12
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x13
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1A
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x1B
CRC_COMPUTE,0,1,HEX,IV,NA,NA,NA,NA,NA,0x04
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x05
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x00
CRC_COMPUTE,1,1,HEX,IV,NA,NA,NA,NA,NA,0x04
CRC_COMPUTE,3,1,BIN,BF,0,0,NA,NA,-1,1
CRC_COMPUTE_Failure,0,1,HEX,IV,NA,NA,NA,NA,NA,0x51
