Test,FaultModel,Status,Times
2411,IfStatus,covered,157
2411,IfHK,covered,149
2411,GYTM,covered,478
2411,MMTX,covered,4
2411,SunSensorTM,covered,591
2411,SSTP,covered,148
2411,ReactionWheelTX,not_covered,0
2411,SpaceCraftHK,covered,149
2411,MagnetorquerSetPWMRSP,covered,56
2604,IfStatus,covered,62
2604,IfHK,covered,53
2604,GYTM,covered,95
2604,MMTX,covered,6
2604,SunSensorTM,covered,206
2604,SSTP,covered,53
2604,ReactionWheelTX,not_covered,0
2604,SpaceCraftHK,covered,52
2604,MagnetorquerSetPWMRSP,covered,14
4270,IfStatus,covered,43
4270,IfHK,covered,39
4270,GYTM,not_covered,0
4270,MMTX,covered,2
4270,SunSensorTM,covered,154
4270,SSTP,covered,39
4270,ReactionWheelTX,not_covered,0
4270,SpaceCraftHK,covered,39
4270,MagnetorquerSetPWMRSP,covered,15
4294,IfStatus,covered,73
4294,IfHK,covered,64
4294,GYTM,covered,87
4294,MMTX,covered,4
4294,SunSensorTM,covered,252
4294,SSTP,covered,63
4294,ReactionWheelTX,not_covered,0
4294,SpaceCraftHK,covered,64
4294,MagnetorquerSetPWMRSP,covered,22
5190,IfStatus,covered,454
5190,IfHK,covered,450
5190,GYTM,not_covered,0
5190,MMTX,covered,2
5190,SunSensorTM,covered,1797
5190,SSTP,covered,450
5190,ReactionWheelTX,not_covered,0
5190,SpaceCraftHK,covered,450
5190,MagnetorquerSetPWMRSP,covered,179
5393,IfStatus,covered,74
5393,IfHK,covered,65
5393,GYTM,covered,173
5393,MMTX,covered,4
5393,SunSensorTM,covered,255
5393,SSTP,covered,64
5393,ReactionWheelTX,not_covered,0
5393,SpaceCraftHK,covered,64
5393,MagnetorquerSetPWMRSP,covered,23
6275,IfStatus,covered,276
6275,IfHK,covered,262
6275,GYTM,covered,872
6275,MMTX,covered,6
6275,SunSensorTM,covered,1044
6275,SSTP,covered,262
6275,ReactionWheelTX,not_covered,0
6275,SpaceCraftHK,covered,262
6275,MagnetorquerSetPWMRSP,covered,90
6583,IfStatus,covered,370
6583,IfHK,covered,361
6583,GYTM,covered,1326
6583,MMTX,covered,28
6583,SunSensorTM,covered,1437
6583,SSTP,covered,361
6583,ReactionWheelTX,not_covered,0
6583,SpaceCraftHK,covered,360
6583,MagnetorquerSetPWMRSP,covered,139
6600,IfStatus,covered,92
6600,IfHK,covered,84
6600,GYTM,covered,126
6600,MMTX,covered,4
6600,SunSensorTM,covered,329
6600,SSTP,covered,84
6600,ReactionWheelTX,not_covered,0
6600,SpaceCraftHK,covered,84
6600,MagnetorquerSetPWMRSP,covered,30
