MutationOpt,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
0,General,1,1,LONG,VAT,0,0,20,1,0,0
1,General,1,1,LONG,SS,0,0,0,1,0,0
2,General,1,1,LONG,SS,0,0,0,-1,0,0
3,General,1,1,LONG,HV,0,0,0,0,0,10
4,General,2,1,LONG,SS,0,0,0,1,0,0
5,General,2,1,LONG,SS,0,0,0,-1,0,0
6,General,2,1,LONG,IV,0,0,0,0,0,0
7,General,2,1,LONG,VAT,0,0,180,1,0,0
8,GET,2,1,LONG,SS,0,0,0,1,0,0
9,GET,2,1,LONG,SS,0,0,0,1,0,0
10,GET,2,1,LONG,IV,0,0,0,0,0,0
11,GET,2,1,LONG,VAT,0,0,180,1,0,0
12,GET,6,1,LONG,SS,0,0,0,1,0,0
13,GET,6,1,LONG,SS,0,0,0,-1,0,0
14,SET,2,1,LONG,SS,0,0,0,1,0,0
15,SET,2,1,LONG,SS,0,0,0,1,0,0
16,SET,2,1,LONG,IV,0,0,0,0,0,0
17,SET,2,1,LONG,VAT,0,0,180,1,0,0
18,SET,6,1,BIN,BF,0,7,0,0,-1,1
19,SAVE,2,1,LONG,SS,0,0,0,1,0,0
20,SAVE,2,1,LONG,SS,0,0,0,1,0,0
21,SAVE,2,1,LONG,IV,0,0,0,0,0,0
22,SAVE,2,1,LONG,VAT,0,0,180,1,0,0
23,SAVE,6,1,LONG,SS,0,0,0,1,0,0
24,SAVE,6,1,LONG,SS,0,0,0,-1,0,0
25,SAVE,7,1,LONG,SS,0,0,0,1,0,0
26,SAVE,7,1,LONG,SS,0,0,0,-1,0,0
27,LOAD,2,1,LONG,SS,0,0,0,1,0,0
28,LOAD,2,1,LONG,SS,0,0,0,1,0,0
29,LOAD,2,1,LONG,IV,0,0,0,0,0,0
30,LOAD,2,1,LONG,VAT,0,0,180,1,0,0
31,LOAD,6,1,LONG,SS,0,0,0,1,0,0
32,LOAD,6,1,LONG,SS,0,0,0,-1,0,0
33,LOAD,7,1,LONG,SS,0,0,0,1,0,0
34,LOAD,7,1,LONG,SS,0,0,0,-1,0,0
