MUTANT,TEST,CONFIGURATION,RESULT
-2,bindings,CONFIGURED,PASSED
-2,example,CONFIGURED,PASSED
-2,file_store,CONFIGURED,PASSED
-2,i2c,CONFIGURED,PASSED
-2,log,CONFIGURED,PASSED
-2,param3,CONFIGURED,PASSED
-2,param4,CONFIGURED,PASSED
-2,rparam3,CONFIGURED,PASSED
-2,rparam4,CONFIGURED,PASSED
-2,serialize,CONFIGURED,PASSED
-2,spi,CONFIGURED,PASSED
-2,store,CONFIGURED,PASSED
-2,store_load,CONFIGURED,PASSED
-2,vmem_store_checksum_first,CONFIGURED,PASSED
-2,vmem_store_checksum_last,CONFIGURED,PASSED
-1,bindings,CONFIGURED,PASSED
-1,example,CONFIGURED,PASSED
-1,file_store,CONFIGURED,PASSED
-1,i2c,CONFIGURED,PASSED
-1,log,CONFIGURED,PASSED
-1,param3,CONFIGURED,PASSED
-1,param4,CONFIGURED,PASSED
-1,rparam3,CONFIGURED,PASSED
-1,rparam4,CONFIGURED,PASSED
-1,serialize,CONFIGURED,PASSED
-1,spi,CONFIGURED,PASSED
-1,store,CONFIGURED,PASSED
-1,store_load,CONFIGURED,PASSED
-1,vmem_store_checksum_first,CONFIGURED,PASSED
-1,vmem_store_checksum_last,CONFIGURED,PASSED
0,bindings,CONFIGURED,PASSED
0,example,CONFIGURED,PASSED
0,file_store,CONFIGURED,PASSED
0,i2c,CONFIGURED,PASSED
0,log,CONFIGURED,PASSED
0,param3,CONFIGURED,PASSED
0,param4,CONFIGURED,PASSED
0,rparam3,CONFIGURED,PASSED
0,rparam4,CONFIGURED,FAILED
0,serialize,CONFIGURED,PASSED
0,spi,CONFIGURED,PASSED
0,store,CONFIGURED,PASSED
0,store_load,CONFIGURED,PASSED
0,vmem_store_checksum_first,CONFIGURED,PASSED
0,vmem_store_checksum_last,CONFIGURED,PASSED
1,bindings,CONFIGURED,PASSED
1,example,CONFIGURED,PASSED
1,file_store,CONFIGURED,PASSED
1,i2c,CONFIGURED,PASSED
1,log,CONFIGURED,PASSED
1,param3,CONFIGURED,PASSED
1,param4,CONFIGURED,PASSED
1,rparam3,CONFIGURED,PASSED
1,rparam4,CONFIGURED,FAILED
1,serialize,CONFIGURED,PASSED
1,spi,CONFIGURED,PASSED
1,store,CONFIGURED,PASSED
1,store_load,CONFIGURED,PASSED
1,vmem_store_checksum_first,CONFIGURED,PASSED
1,vmem_store_checksum_last,CONFIGURED,PASSED
2,bindings,CONFIGURED,PASSED
2,example,CONFIGURED,PASSED
2,file_store,CONFIGURED,PASSED
2,i2c,CONFIGURED,PASSED
2,log,CONFIGURED,PASSED
2,param3,CONFIGURED,PASSED
2,param4,CONFIGURED,PASSED
2,rparam3,CONFIGURED,PASSED
2,rparam4,CONFIGURED,FAILED
2,serialize,CONFIGURED,PASSED
2,spi,CONFIGURED,PASSED
2,store,CONFIGURED,PASSED
2,store_load,CONFIGURED,PASSED
2,vmem_store_checksum_first,CONFIGURED,PASSED
2,vmem_store_checksum_last,CONFIGURED,PASSED
3,bindings,CONFIGURED,PASSED
3,example,CONFIGURED,PASSED
3,file_store,CONFIGURED,PASSED
3,i2c,CONFIGURED,PASSED
3,log,CONFIGURED,PASSED
3,param3,CONFIGURED,PASSED
3,param4,CONFIGURED,PASSED
3,rparam3,CONFIGURED,PASSED
3,rparam4,CONFIGURED,FAILED
3,serialize,CONFIGURED,PASSED
3,spi,CONFIGURED,PASSED
3,store,CONFIGURED,PASSED
3,store_load,CONFIGURED,PASSED
3,vmem_store_checksum_first,CONFIGURED,PASSED
3,vmem_store_checksum_last,CONFIGURED,PASSED
4,bindings,CONFIGURED,PASSED
4,example,CONFIGURED,PASSED
4,file_store,CONFIGURED,PASSED
4,i2c,CONFIGURED,PASSED
4,log,CONFIGURED,PASSED
4,param3,CONFIGURED,PASSED
4,param4,CONFIGURED,PASSED
4,rparam3,CONFIGURED,FAILED
4,rparam4,CONFIGURED,FAILED
4,serialize,CONFIGURED,PASSED
4,spi,CONFIGURED,PASSED
4,store,CONFIGURED,PASSED
4,store_load,CONFIGURED,PASSED
4,vmem_store_checksum_first,CONFIGURED,PASSED
4,vmem_store_checksum_last,CONFIGURED,PASSED
5,bindings,CONFIGURED,PASSED
5,example,CONFIGURED,PASSED
5,file_store,CONFIGURED,PASSED
5,i2c,CONFIGURED,PASSED
5,log,CONFIGURED,PASSED
5,param3,CONFIGURED,PASSED
5,param4,CONFIGURED,PASSED
5,rparam3,CONFIGURED,FAILED
5,rparam4,CONFIGURED,FAILED
5,serialize,CONFIGURED,PASSED
5,spi,CONFIGURED,PASSED
5,store,CONFIGURED,PASSED
5,store_load,CONFIGURED,PASSED
5,vmem_store_checksum_first,CONFIGURED,PASSED
5,vmem_store_checksum_last,CONFIGURED,PASSED
6,bindings,CONFIGURED,PASSED
6,example,CONFIGURED,PASSED
6,file_store,CONFIGURED,PASSED
6,i2c,CONFIGURED,PASSED
6,log,CONFIGURED,PASSED
6,param3,CONFIGURED,PASSED
6,param4,CONFIGURED,PASSED
6,rparam3,CONFIGURED,FAILED
6,rparam4,CONFIGURED,FAILED
6,serialize,CONFIGURED,PASSED
6,spi,CONFIGURED,PASSED
6,store,CONFIGURED,PASSED
6,store_load,CONFIGURED,PASSED
6,vmem_store_checksum_first,CONFIGURED,PASSED
6,vmem_store_checksum_last,CONFIGURED,PASSED
