FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
F40,1,1,DOUBLE,HV,-,-,-,-,-,100
F40,1,1,DOUBLE,SS,-,-,-,60,-,-
F40,1,1,DOUBLE,VAT,-,-,604800,1,-,-
F40,3,1,DOUBLE,ASA,-,-,0,100000,-,2
F40,3,1,DOUBLE,ASA,-,-,NA,100000,-,NA
F40,4,1,DOUBLE,ASA,-,-,0,100000,-,2
F40,4,1,DOUBLE,ASA,-,-,NA,100000,-,NA
F40,5,1,DOUBLE,ASA,-,-,0,100000,-,2
F40,5,1,DOUBLE,ASA,-,-,NA,100000,-,NA
F40,6,1,DOUBLE,ASA,-,-,0,1000,-,2
F40,6,1,DOUBLE,ASA,-,-,NA,10000,-,NA
F40,7,1,DOUBLE,ASA,-,-,0,1000,-,2
F40,7,1,DOUBLE,ASA,-,-,NA,10000,-,NA
F40,8,1,DOUBLE,ASA,-,-,0,1000,-,2
F40,8,1,DOUBLE,ASA,-,-,NA,10000,-,NA
F40,9,1,DOUBLE,IV,-,-,-,-,-,3
F40,9,1,DOUBLE,IV,-,-,-,-,-,2
F40,9,1,DOUBLE,IV,-,-,-,-,-,0
F40,10,1,DOUBLE,SS,-,-,-,-2,-,-
F40,11,1,DOUBLE,SS,-,-,-,20,-,-
F40,11,1,DOUBLE,SS,-,-,-,NA,-,-
F40,11,1,DOUBLE,SS,-,-,-,NA,-,-
