MUTANT,TEST,CONFIGURATION,RESULT,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
-2,bindings,CONFIGURED,PASSED
-2,example,CONFIGURED,PASSED
-2,file_store,CONFIGURED,PASSED
-2,i2c,CONFIGURED,PASSED
-2,log,CONFIGURED,PASSED
-2,param3,CONFIGURED,PASSED
-2,param4,CONFIGURED,PASSED
-2,rparam3,CONFIGURED,PASSED
-2,rparam4,CONFIGURED,PASSED
-2,serialize,CONFIGURED,PASSED
-2,spi,CONFIGURED,PASSED
-2,store,CONFIGURED,PASSED
-2,store_load,CONFIGURED,PASSED
-2,vmem_store_checksum_first,CONFIGURED,PASSED
-2,vmem_store_checksum_last,CONFIGURED,PASSED
-1,bindings,CONFIGURED,PASSED
-1,example,CONFIGURED,PASSED
-1,file_store,CONFIGURED,PASSED
-1,i2c,CONFIGURED,PASSED
-1,log,CONFIGURED,PASSED
-1,param3,CONFIGURED,PASSED
-1,param4,CONFIGURED,PASSED
-1,rparam3,CONFIGURED,PASSED
-1,rparam4,CONFIGURED,PASSED
-1,serialize,CONFIGURED,PASSED
-1,spi,CONFIGURED,PASSED
-1,store,CONFIGURED,PASSED
-1,store_load,CONFIGURED,PASSED
-1,vmem_store_checksum_first,CONFIGURED,PASSED
-1,vmem_store_checksum_last,CONFIGURED,PASSED
0,bindings,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,example,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,file_store,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,i2c,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,log,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,param3,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,param4,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,rparam3,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,rparam4,CONFIGURED,FAILED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,serialize,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,spi,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,store,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,store_load,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,vmem_store_checksum_first,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
0,vmem_store_checksum_last,CONFIGURED,PASSED,General,1,1,LONG,VAT,u,u,20,1,u,u
1,bindings,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,example,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,file_store,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,i2c,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,log,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,param3,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,param4,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,rparam3,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,rparam4,CONFIGURED,FAILED,General,1,1,LONG,SS,u,u,u,1,u,u
1,serialize,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,spi,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,store,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,store_load,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,vmem_store_checksum_first,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
1,vmem_store_checksum_last,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,1,u,u
2,bindings,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,example,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,file_store,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,i2c,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,log,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,param3,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,param4,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,rparam3,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,rparam4,CONFIGURED,FAILED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,serialize,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,spi,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,store,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,store_load,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
2,vmem_store_checksum_first,CONFIGURED,PASSED,General,1,1,LONG,SS,u,u,u,-1,u,u
