Mutant;ALL;Jaccard
e_acos.mut.100.1_1_11.ABS.__ieee754_acos;1;1
e_acos.mut.100.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.101.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.101.5_1_6.LVR.__ieee754_acos;1;1
e_acos.mut.102.1_1_11.AOD.__ieee754_acos;1;1
e_acos.mut.102.1_1_12.ABS.__ieee754_acos;1;1
e_acos.mut.102.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.102.1_11_20.AOR.__ieee754_acos;1;1
e_acos.mut.102.1_2_12.AOD.__ieee754_acos;1;1
e_acos.mut.102.1_3_13.AOR.__ieee754_acos;1;1
e_acos.mut.102.1_3_17.ABS.__ieee754_acos;1;1
e_acos.mut.102.1_4_22.ABS.__ieee754_acos;1;1
e_acos.mut.102.1_6_16.AOR.__ieee754_acos;1;1
e_acos.mut.102.1_7_22.AOD.__ieee754_acos;1;1
e_acos.mut.102.2_12_20.AOR.__ieee754_acos;1;1
e_acos.mut.102.2_3_13.AOD.__ieee754_acos;1;1
e_acos.mut.102.2_6_20.AOD.__ieee754_acos;1;1
e_acos.mut.102.2_7_16.AOR.__ieee754_acos;1;1
e_acos.mut.102.2_8_23.AOD.__ieee754_acos;1;1
e_acos.mut.102.3_10_20.AOR.__ieee754_acos;1;1
e_acos.mut.102.3_14_23.AOR.__ieee754_acos;1;1
e_acos.mut.102.3_2_13.AOR.__ieee754_acos;1;1
e_acos.mut.102.4_16_23.AOR.__ieee754_acos;1;1
e_acos.mut.102.4_4_13.AOR.__ieee754_acos;1;1
e_acos.mut.102.4_8_16.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_1_10.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.103.1_10_18.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_10_41.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_11_27.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_11_45.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_12_47.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_13_31.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_15_34.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_17_38.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_18_25.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_19_41.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_2_11.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_2_13.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_21_45.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_26_32.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_3_13.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_3_17.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_34_39.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_4_20.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_42_46.AOR.__ieee754_acos;1;1
e_acos.mut.103.1_5_17.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_5_24.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_6_27.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_7_20.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_7_31.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_8_34.ABS.__ieee754_acos;1;1
e_acos.mut.103.1_9_24.AOD.__ieee754_acos;1;1
e_acos.mut.103.1_9_38.ABS.__ieee754_acos;1;1
e_acos.mut.103.2_10_25.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_11_18.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_12_30.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_14_32.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_15_23.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_16_37.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_18_39.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_19_25.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_2_11.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_20_44.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_22_46.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_23_30.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_27_32.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_3_11.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_31_37.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_35_39.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_39_44.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_4_16.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_43_46.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_6_18.AOD.__ieee754_acos;1;1
e_acos.mut.103.2_7_16.AOR.__ieee754_acos;1;1
e_acos.mut.103.2_8_23.AOD.__ieee754_acos;1;1
e_acos.mut.103.3_14_23.AOR.__ieee754_acos;1;1
e_acos.mut.103.3_22_30.AOR.__ieee754_acos;1;1
e_acos.mut.103.3_30_37.AOR.__ieee754_acos;1;1
e_acos.mut.103.3_38_44.AOR.__ieee754_acos;1;1
e_acos.mut.103.3_6_16.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_12_18.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_16_23.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_20_25.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_24_30.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_28_32.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_32_37.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_36_39.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_4_11.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_40_44.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_44_46.AOR.__ieee754_acos;1;1
e_acos.mut.103.4_8_16.AOR.__ieee754_acos;1;1
e_acos.mut.104.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_1_10.AOD.__ieee754_acos;1;1
