rate;iteration;total;killed;timeout;live;ms
1000;1;1000;633;164;367;63.30
1000;2;1000;658;154;342;65.80
1000;3;1000;651;173;349;65.10
1000;4;1000;642;159;358;64.20
1000;5;1000;669;155;331;66.90
1000;6;1000;648;144;352;64.80
1000;7;1000;631;160;369;63.10
1000;8;1000;622;153;378;62.20
1000;9;1000;642;159;358;64.20
1000;10;1000;660;167;340;66.00
1000;11;1000;666;171;334;66.60
1000;12;1000;680;153;320;68.00
1000;13;1000;656;185;344;65.60
1000;14;1000;656;158;344;65.60
1000;15;1000;698;182;302;69.80
1000;16;1000;657;167;343;65.70
1000;17;1000;674;171;326;67.40
1000;18;1000;631;148;369;63.10
1000;19;1000;641;151;359;64.10
1000;20;1000;650;160;350;65.00
1000;21;1000;637;159;363;63.70
1000;22;1000;639;156;361;63.90
1000;23;1000;637;163;363;63.70
1000;24;1000;644;155;356;64.40
1000;25;1000;664;175;336;66.40
1000;26;1000;640;146;360;64.00
1000;27;1000;640;140;360;64.00
1000;28;1000;664;162;336;66.40
1000;29;1000;661;158;339;66.10
1000;30;1000;668;157;332;66.80
1000;31;1000;645;166;355;64.50
1000;32;1000;664;157;336;66.40
1000;33;1000;643;148;357;64.30
1000;34;1000;663;147;337;66.30
1000;35;1000;639;153;361;63.90
1000;36;1000;646;161;354;64.60
1000;37;1000;675;156;325;67.50
1000;38;1000;658;158;342;65.80
1000;39;1000;634;146;366;63.40
1000;40;1000;660;163;340;66.00
1000;41;1000;648;170;352;64.80
1000;42;1000;652;178;348;65.20
1000;43;1000;644;163;356;64.40
1000;44;1000;654;158;346;65.40
1000;45;1000;640;153;360;64.00
1000;46;1000;645;147;355;64.50
1000;47;1000;650;149;350;65.00
1000;48;1000;637;149;363;63.70
1000;49;1000;628;158;372;62.80
1000;50;1000;657;149;343;65.70
1000;51;1000;641;169;359;64.10
1000;52;1000;667;160;333;66.70
1000;53;1000;669;163;331;66.90
1000;54;1000;637;154;363;63.70
1000;55;1000;651;154;349;65.10
1000;56;1000;650;183;350;65.00
1000;57;1000;624;146;376;62.40
1000;58;1000;661;163;339;66.10
1000;59;1000;658;144;342;65.80
1000;60;1000;659;160;341;65.90
1000;61;1000;647;144;353;64.70
1000;62;1000;649;154;351;64.90
1000;63;1000;660;152;340;66.00
1000;64;1000;659;155;341;65.90
1000;65;1000;624;148;376;62.40
1000;66;1000;645;154;355;64.50
1000;67;1000;643;163;357;64.30
1000;68;1000;662;151;338;66.20
1000;69;1000;660;176;340;66.00
1000;70;1000;661;163;339;66.10
1000;71;1000;670;156;330;67.00
1000;72;1000;669;158;331;66.90
1000;73;1000;654;169;346;65.40
1000;74;1000;672;173;328;67.20
1000;75;1000;676;158;324;67.60
1000;76;1000;662;176;338;66.20
1000;77;1000;661;167;339;66.10
1000;78;1000;661;168;339;66.10
1000;79;1000;647;152;353;64.70
1000;80;1000;659;169;341;65.90
1000;81;1000;676;154;324;67.60
1000;82;1000;644;155;356;64.40
1000;83;1000;636;157;364;63.60
1000;84;1000;642;145;358;64.20
1000;85;1000;658;171;342;65.80
1000;86;1000;638;151;362;63.80
1000;87;1000;674;155;326;67.40
1000;88;1000;635;162;365;63.50
1000;89;1000;651;153;349;65.10
1000;90;1000;646;156;354;64.60
1000;91;1000;663;163;337;66.30
1000;92;1000;648;150;352;64.80
1000;93;1000;639;163;361;63.90
1000;94;1000;656;169;344;65.60
1000;95;1000;656;151;344;65.60
1000;96;1000;617;144;383;61.70
1000;97;1000;644;150;356;64.40
1000;98;1000;651;162;349;65.10
1000;99;1000;657;164;343;65.70
1000;100;1000;648;145;352;64.80
