Mutant;ALL;Jaccard
base16.mut.27.1_2_21.UOI.base16_encode;1;1
base16.mut.27.3_1_21.UOI.base16_encode;1;1
base16.mut.29.1_1_2.SDL.base16_encode;1;1
base16.mut.29.1_6_39.ICR.base16_encode;1;1
base16.mut.29.2_1_39.ICR.base16_encode;1;1
base16.mut.29.3_5_39.ICR.base16_encode;1;1
base16.mut.29.4_2_39.ICR.base16_encode;1;1
base16.mut.29.6_4_39.ICR.base16_encode;1;1
base16.mut.30.1_6_27.ICR.base16_encode;1;1
base16.mut.30.2_1_27.ICR.base16_encode;0;0
base16.mut.30.3_5_27.ICR.base16_encode;1;1
base16.mut.30.4_2_27.ICR.base16_encode;0;0
base16.mut.30.5_3_27.ICR.base16_encode;1;1
base16.mut.30.6_4_27.ICR.base16_encode;0;0
base16.mut.37.1_1_5.SDL.base16_decode;1;1
base16.mut.37.7_1_9.ROR.base16_decode;1;1
base16.mut.42.1_2_23.ICR.base16_decode;1;1
base16.mut.42.2_1_23.ICR.base16_decode;1;1
base16.mut.42.8_1_9.ROR.base16_decode;1;1
base16.mut.43.1_1_13.SDL.base16_decode;0;0
base16.mut.43.2_1_32.ICR.base16_decode;1;1
base16.mut.43.4_3_32.ICR.base16_decode;1;1
base16.mut.43.7_1_17.ROR.base16_decode;1;1
base16.mut.46.1_6_40.ICR.base16_decode;1;1
base16.mut.46.2_1_40.ICR.base16_decode;1;1
base16.mut.46.6_4_40.ICR.base16_decode;1;1
base16.mut.47.1_1_13.SDL.base16_decode;1;1
base16.mut.47.1_6_17.ICR.base16_decode;1;1
base16.mut.47.2_1_17.ICR.base16_decode;1;1
base16.mut.47.3_5_17.ICR.base16_decode;1;1
base16.mut.47.4_2_17.ICR.base16_decode;1;1
base16.mut.47.6_4_17.ICR.base16_decode;1;1
base16.mut.48.1_1_13.SDL.base16_decode;1;1
base16.mut.48.1_6_60.ICR.base16_decode;1;1
base16.mut.48.2_1_60.ICR.base16_decode;1;1
base16.mut.48.3_5_60.ICR.base16_decode;1;1
base16.mut.48.4_2_60.ICR.base16_decode;1;1
base16.mut.48.5_3_60.ICR.base16_decode;1;1
base16.mut.48.6_4_60.ICR.base16_decode;1;1
base16.mut.49.1_4_23.ROR.base16_decode;0;0
base16.mut.49.2_5_23.ROR.base16_decode;1;1
base16.mut.49.3_1_23.ROR.base16_decode;1;1
base16.mut.49.4_2_23.ROR.base16_decode;1;1
base16.mut.49.5_3_23.ROR.base16_decode;1;1
base16.mut.52.1_1_13.SDL.base16_decode;1;1
base16.mut.52.2_1_30.ICR.base16_decode;1;1
base16.mut.52.4_2_30.ICR.base16_decode;1;1
base16.mut.55.1_1_18.AOD.base16_decode;1;1
base16.mut.55.1_1_5.SDL.base16_decode;1;1
base16.mut.55.2_2_28.AOD.base16_decode;1;1
bytebuffer.mut.101.1_1_13.ROD.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.101.1_1_9.SDL.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.101.1_4_22.ROR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.101.2_2_22.ROD.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.101.4_2_22.ROR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.101.5_3_22.ROR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.101.6_1_22.ROR.gs_bytebuffer_get_as_string;0;0
bytebuffer.mut.101.7_1_13.ROR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.102.1_1_13.SDL.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.102.1_2_36.ICR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.102.2_1_36.ICR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.105.1_1_13.SDL.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.105.3_1_23.LCR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.105.5_2_23.LCR.gs_bytebuffer_get_as_string;0;0
bytebuffer.mut.106.1_1_13.SDL.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.106.1_1_24.AOD.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.106.1_3_33.AOR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.106.1_5_40.ICR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.106.2_4_40.ICR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.106.4_3_35.ICR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.106.5_1_33.AOR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.108.7_1_13.ROR.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.111.1_1_9.SDL.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.118.1_1_5.SDL.gs_bytebuffer_get_state;1;1
bytebuffer.mut.118.7_1_9.ROR.gs_bytebuffer_get_state;1;1
bytebuffer.mut.119.1_1_13.BOD.gs_bytebuffer_get_state;1;1
bytebuffer.mut.119.1_1_9.SDL.gs_bytebuffer_get_state;0;0
bytebuffer.mut.119.2_2_23.BOD.gs_bytebuffer_get_state;1;1
bytebuffer.mut.119.7_1_13.ROR.gs_bytebuffer_get_state;1;1
bytebuffer.mut.119.8_1_23.LCR.gs_bytebuffer_get_state;1;1
bytebuffer.mut.12.1_1_5.SDL.gs_bytebuffer_init;0;0
bytebuffer.mut.122.1_1_13.BOD.gs_bytebuffer_get_state;1;1
bytebuffer.mut.122.2_2_23.BOD.gs_bytebuffer_get_state;0;0
bytebuffer.mut.122.7_1_13.ROR.gs_bytebuffer_get_state;1;1
bytebuffer.mut.122.8_1_23.LCR.gs_bytebuffer_get_state;1;1
bytebuffer.mut.123.1_1_13.SDL.gs_bytebuffer_get_state;1;1
bytebuffer.mut.125.1_1_9.SDL.gs_bytebuffer_get_state;1;1
bytebuffer.mut.13.1_1_5.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.13.1_2_16.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.13.2_1_16.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.14.1_1_5.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.14.7_1_9.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.1_1_13.ROD.gs_bytebuffer_init;1;1
bytebuffer.mut.15.1_2_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.1_4_25.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.1_6_27.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.2_1_27.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.2_2_25.ROD.gs_bytebuffer_init;1;1
bytebuffer.mut.15.2_4_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.3_1_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.4_3_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.5_3_25.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.6_1_25.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.6_4_27.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.19.1_1_9.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.20.1_1_9.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.20.1_2_20.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.20.3_1_20.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.25.1_1_5.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.31.1_1_5.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.31.1_1_9.ROD.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.31.2_5_20.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.34.1_1_9.SDL.__builtin_va_end;1;1
bytebuffer.mut.34.1_2_30.ICR.__builtin_va_end;0;0
bytebuffer.mut.34.2_1_30.ICR.__builtin_va_end;1;1
bytebuffer.mut.35.1_1_13.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.1_2_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.2_1_20.ICR.gs_bytebuffer_vprintf;0;0
