rate;iteration;total;killed;timeout;live;ms
1000;1;1000;719;11;281;71.90
1000;2;1000;703;20;297;70.30
1000;3;1000;706;12;294;70.60
1000;4;1000;707;15;293;70.70
1000;5;1000;703;18;297;70.30
1000;6;1000;692;12;308;69.20
1000;7;1000;699;10;301;69.90
1000;8;1000;681;14;319;68.10
1000;9;1000;699;14;301;69.90
1000;10;1000;713;14;287;71.30
1000;11;1000;700;8;300;70.00
1000;12;1000;680;10;320;68.00
1000;13;1000;701;14;299;70.10
1000;14;1000;711;20;289;71.10
1000;15;1000;670;12;330;67.00
1000;16;1000;692;13;308;69.20
1000;17;1000;695;16;305;69.50
1000;18;1000;691;16;309;69.10
1000;19;1000;673;10;327;67.30
1000;20;1000;699;17;301;69.90
1000;21;1000;682;7;318;68.20
1000;22;1000;698;13;302;69.80
1000;23;1000;717;9;283;71.70
1000;24;1000;711;11;289;71.10
1000;25;1000;687;12;313;68.70
1000;26;1000;668;13;332;66.80
1000;27;1000;687;16;313;68.70
1000;28;1000;664;12;336;66.40
1000;29;1000;712;14;288;71.20
1000;30;1000;678;15;322;67.80
1000;31;1000;685;13;315;68.50
1000;32;1000;712;17;288;71.20
1000;33;1000;693;10;307;69.30
1000;34;1000;712;14;288;71.20
1000;35;1000;689;9;311;68.90
1000;36;1000;685;18;315;68.50
1000;37;1000;702;15;298;70.20
1000;38;1000;678;15;322;67.80
1000;39;1000;669;15;331;66.90
1000;40;1000;685;8;315;68.50
1000;41;1000;717;17;283;71.70
1000;42;1000;688;13;312;68.80
1000;43;1000;683;15;317;68.30
1000;44;1000;677;15;323;67.70
1000;45;1000;682;12;318;68.20
1000;46;1000;691;17;309;69.10
1000;47;1000;705;16;295;70.50
1000;48;1000;679;15;321;67.90
1000;49;1000;714;13;286;71.40
1000;50;1000;680;16;320;68.00
1000;51;1000;678;16;322;67.80
1000;52;1000;700;15;300;70.00
1000;53;1000;671;13;329;67.10
1000;54;1000;681;11;319;68.10
1000;55;1000;702;17;298;70.20
1000;56;1000;684;7;316;68.40
1000;57;1000;683;18;317;68.30
1000;58;1000;681;14;319;68.10
1000;59;1000;684;14;316;68.40
1000;60;1000;710;19;290;71.00
1000;61;1000;700;13;300;70.00
1000;62;1000;712;14;288;71.20
1000;63;1000;676;15;324;67.60
1000;64;1000;682;13;318;68.20
1000;65;1000;687;8;313;68.70
1000;66;1000;685;14;315;68.50
1000;67;1000;702;11;298;70.20
1000;68;1000;690;13;310;69.00
1000;69;1000;685;10;315;68.50
1000;70;1000;672;12;328;67.20
1000;71;1000;686;15;314;68.60
1000;72;1000;703;14;297;70.30
1000;73;1000;669;8;331;66.90
1000;74;1000;676;6;324;67.60
1000;75;1000;680;14;320;68.00
1000;76;1000;693;14;307;69.30
1000;77;1000;695;19;305;69.50
1000;78;1000;694;13;306;69.40
1000;79;1000;662;16;338;66.20
1000;80;1000;699;14;301;69.90
1000;81;1000;669;15;331;66.90
1000;82;1000;695;14;305;69.50
1000;83;1000;706;13;294;70.60
1000;84;1000;692;17;308;69.20
1000;85;1000;702;14;298;70.20
1000;86;1000;675;10;325;67.50
1000;87;1000;681;10;319;68.10
1000;88;1000;648;5;352;64.80
1000;89;1000;692;12;308;69.20
1000;90;1000;683;15;317;68.30
1000;91;1000;664;12;336;66.40
1000;92;1000;694;16;306;69.40
1000;93;1000;689;17;311;68.90
1000;94;1000;666;14;334;66.60
1000;95;1000;683;21;317;68.30
1000;96;1000;666;8;334;66.60
1000;97;1000;682;11;318;68.20
1000;98;1000;675;13;325;67.50
1000;99;1000;720;17;280;72.00
1000;100;1000;704;11;296;70.40
