rate;iteration;total;killed;timeout;live;ms
1000;1;1000;827;14;173;82.70
1000;2;1000;819;10;181;81.90
1000;3;1000;822;4;178;82.20
1000;4;1000;826;8;174;82.60
1000;5;1000;817;6;183;81.70
1000;6;1000;826;11;174;82.60
1000;7;1000;810;15;190;81.00
1000;8;1000;813;14;187;81.30
1000;9;1000;823;8;177;82.30
1000;10;1000;834;9;166;83.40
1000;11;1000;810;12;190;81.00
1000;12;1000;825;11;175;82.50
1000;13;1000;808;10;192;80.80
1000;14;1000;816;10;184;81.60
1000;15;1000;805;5;195;80.50
1000;16;1000;817;12;183;81.70
1000;17;1000;825;16;175;82.50
1000;18;1000;823;6;177;82.30
1000;19;1000;825;11;175;82.50
1000;20;1000;808;11;192;80.80
1000;21;1000;830;9;170;83.00
1000;22;1000;816;10;184;81.60
1000;23;1000;833;11;167;83.30
1000;24;1000;808;16;192;80.80
1000;25;1000;826;11;174;82.60
1000;26;1000;827;9;173;82.70
1000;27;1000;807;6;193;80.70
1000;28;1000;841;10;159;84.10
1000;29;1000;821;13;179;82.10
1000;30;1000;818;13;182;81.80
1000;31;1000;809;7;191;80.90
1000;32;1000;815;8;185;81.50
1000;33;1000;828;8;172;82.80
1000;34;1000;826;8;174;82.60
1000;35;1000;811;9;189;81.10
1000;36;1000;828;13;172;82.80
1000;37;1000;809;11;191;80.90
1000;38;1000;800;11;200;80.00
1000;39;1000;809;9;191;80.90
1000;40;1000;828;12;172;82.80
1000;41;1000;815;9;185;81.50
1000;42;1000;830;10;170;83.00
1000;43;1000;832;6;168;83.20
1000;44;1000;821;13;179;82.10
1000;45;1000;817;14;183;81.70
1000;46;1000;798;14;202;79.80
1000;47;1000;840;6;160;84.00
1000;48;1000;812;9;188;81.20
1000;49;1000;804;15;196;80.40
1000;50;1000;826;6;174;82.60
1000;51;1000;808;7;192;80.80
1000;52;1000;829;14;171;82.90
1000;53;1000;805;12;195;80.50
1000;54;1000;809;10;191;80.90
1000;55;1000;828;10;172;82.80
1000;56;1000;843;9;157;84.30
1000;57;1000;796;11;204;79.60
1000;58;1000;829;9;171;82.90
1000;59;1000;825;7;175;82.50
1000;60;1000;831;4;169;83.10
1000;61;1000;817;9;183;81.70
1000;62;1000;819;12;181;81.90
1000;63;1000;835;9;165;83.50
1000;64;1000;822;16;178;82.20
1000;65;1000;807;7;193;80.70
1000;66;1000;813;12;187;81.30
1000;67;1000;810;8;190;81.00
1000;68;1000;796;13;204;79.60
1000;69;1000;842;10;158;84.20
1000;70;1000;848;15;152;84.80
1000;71;1000;827;7;173;82.70
1000;72;1000;828;9;172;82.80
1000;73;1000;803;9;197;80.30
1000;74;1000;831;4;169;83.10
1000;75;1000;799;12;201;79.90
1000;76;1000;813;12;187;81.30
1000;77;1000;810;14;190;81.00
1000;78;1000;822;7;178;82.20
1000;79;1000;831;10;169;83.10
1000;80;1000;785;8;215;78.50
1000;81;1000;809;12;191;80.90
1000;82;1000;809;10;191;80.90
1000;83;1000;821;11;179;82.10
1000;84;1000;808;11;192;80.80
1000;85;1000;807;9;193;80.70
1000;86;1000;807;12;193;80.70
1000;87;1000;805;8;195;80.50
1000;88;1000;802;10;198;80.20
1000;89;1000;828;15;172;82.80
1000;90;1000;813;12;187;81.30
1000;91;1000;823;20;177;82.30
1000;92;1000;805;14;195;80.50
1000;93;1000;830;11;170;83.00
1000;94;1000;834;9;166;83.40
1000;95;1000;825;15;175;82.50
1000;96;1000;818;11;182;81.80
1000;97;1000;813;11;187;81.30
1000;98;1000;825;7;175;82.50
1000;99;1000;815;10;185;81.50
1000;100;1000;814;15;186;81.40
