rate;iteration;total;killed;timeout;live;ms
1000;1;1000;664;60;336;66.40
1000;2;1000;659;52;341;65.90
1000;3;1000;667;50;333;66.70
1000;4;1000;646;56;354;64.60
1000;5;1000;677;56;323;67.70
1000;6;1000;654;57;346;65.40
1000;7;1000;651;57;349;65.10
1000;8;1000;667;60;333;66.70
1000;9;1000;655;49;345;65.50
1000;10;1000;644;50;356;64.40
1000;11;1000;668;58;332;66.80
1000;12;1000;650;55;350;65.00
1000;13;1000;667;57;333;66.70
1000;14;1000;661;57;339;66.10
1000;15;1000;677;52;323;67.70
1000;16;1000;648;49;352;64.80
1000;17;1000;657;46;343;65.70
1000;18;1000;678;56;322;67.80
1000;19;1000;656;59;344;65.60
1000;20;1000;667;52;333;66.70
1000;21;1000;670;63;330;67.00
1000;22;1000;640;42;360;64.00
1000;23;1000;666;61;334;66.60
1000;24;1000;656;54;344;65.60
1000;25;1000;646;53;354;64.60
1000;26;1000;664;51;336;66.40
1000;27;1000;661;63;339;66.10
1000;28;1000;641;48;359;64.10
1000;29;1000;641;56;359;64.10
1000;30;1000;653;55;347;65.30
1000;31;1000;632;53;368;63.20
1000;32;1000;672;64;328;67.20
1000;33;1000;660;60;340;66.00
1000;34;1000;656;64;344;65.60
1000;35;1000;663;54;337;66.30
1000;36;1000;650;48;350;65.00
1000;37;1000;662;64;338;66.20
1000;38;1000;667;61;333;66.70
1000;39;1000;666;54;334;66.60
1000;40;1000;666;56;334;66.60
1000;41;1000;670;52;330;67.00
1000;42;1000;663;59;337;66.30
1000;43;1000;658;54;342;65.80
1000;44;1000;657;42;343;65.70
1000;45;1000;670;54;330;67.00
1000;46;1000;635;53;365;63.50
1000;47;1000;649;48;351;64.90
1000;48;1000;662;46;338;66.20
1000;49;1000;657;57;343;65.70
1000;50;1000;659;59;341;65.90
1000;51;1000;642;63;358;64.20
1000;52;1000;655;46;345;65.50
1000;53;1000;667;57;333;66.70
1000;54;1000;665;48;335;66.50
1000;55;1000;635;38;365;63.50
1000;56;1000;681;47;319;68.10
1000;57;1000;669;63;331;66.90
1000;58;1000;668;56;332;66.80
1000;59;1000;677;44;323;67.70
1000;60;1000;654;45;346;65.40
1000;61;1000;643;55;357;64.30
1000;62;1000;658;47;342;65.80
1000;63;1000;632;41;368;63.20
1000;64;1000;645;52;355;64.50
1000;65;1000;641;47;359;64.10
1000;66;1000;654;50;346;65.40
1000;67;1000;627;45;373;62.70
1000;68;1000;673;49;327;67.30
1000;69;1000;656;49;344;65.60
1000;70;1000;664;54;336;66.40
1000;71;1000;654;52;346;65.40
1000;72;1000;644;60;356;64.40
1000;73;1000;662;55;338;66.20
1000;74;1000;653;54;347;65.30
1000;75;1000;673;47;327;67.30
1000;76;1000;665;47;335;66.50
1000;77;1000;643;63;357;64.30
1000;78;1000;654;53;346;65.40
1000;79;1000;652;49;348;65.20
1000;80;1000;659;52;341;65.90
1000;81;1000;661;63;339;66.10
1000;82;1000;689;57;311;68.90
1000;83;1000;666;57;334;66.60
1000;84;1000;666;62;334;66.60
1000;85;1000;644;50;356;64.40
1000;86;1000;646;46;354;64.60
1000;87;1000;654;50;346;65.40
1000;88;1000;669;61;331;66.90
1000;89;1000;655;51;345;65.50
1000;90;1000;680;49;320;68.00
1000;91;1000;675;46;325;67.50
1000;92;1000;672;51;328;67.20
1000;93;1000;669;59;331;66.90
1000;94;1000;649;51;351;64.90
1000;95;1000;665;58;335;66.50
1000;96;1000;652;51;348;65.20
1000;97;1000;667;60;333;66.70
1000;98;1000;681;59;319;68.10
1000;99;1000;673;53;327;67.30
1000;100;1000;659;57;341;65.90
