rate;iteration;total;killed;timeout;live;ms
1000;1;1000;722;35;278;72.20
1000;2;1000;702;33;298;70.20
1000;3;1000;716;36;284;71.60
1000;4;1000;722;30;278;72.20
1000;5;1000;704;43;296;70.40
1000;6;1000;684;30;316;68.40
1000;7;1000;733;37;267;73.30
1000;8;1000;707;31;293;70.70
1000;9;1000;723;42;277;72.30
1000;10;1000;689;30;311;68.90
1000;11;1000;707;35;293;70.70
1000;12;1000;702;39;298;70.20
1000;13;1000;697;36;303;69.70
1000;14;1000;727;44;273;72.70
1000;15;1000;713;48;287;71.30
1000;16;1000;701;30;299;70.10
1000;17;1000;706;46;294;70.60
1000;18;1000;706;34;294;70.60
1000;19;1000;722;33;278;72.20
1000;20;1000;703;33;297;70.30
1000;21;1000;700;34;300;70.00
1000;22;1000;711;45;289;71.10
1000;23;1000;717;36;283;71.70
1000;24;1000;715;29;285;71.50
1000;25;1000;734;39;266;73.40
1000;26;1000;717;45;283;71.70
1000;27;1000;690;36;310;69.00
1000;28;1000;697;41;303;69.70
1000;29;1000;713;37;287;71.30
1000;30;1000;702;43;298;70.20
1000;31;1000;696;23;304;69.60
1000;32;1000;702;39;298;70.20
1000;33;1000;697;34;303;69.70
1000;34;1000;714;28;286;71.40
1000;35;1000;696;39;304;69.60
1000;36;1000;714;45;286;71.40
1000;37;1000;723;28;277;72.30
1000;38;1000;699;43;301;69.90
1000;39;1000;731;40;269;73.10
1000;40;1000;703;54;297;70.30
1000;41;1000;707;37;293;70.70
1000;42;1000;715;42;285;71.50
1000;43;1000;718;40;282;71.80
1000;44;1000;701;36;299;70.10
1000;45;1000;701;40;299;70.10
1000;46;1000;692;52;308;69.20
1000;47;1000;722;42;278;72.20
1000;48;1000;716;47;284;71.60
1000;49;1000;744;32;256;74.40
1000;50;1000;704;42;296;70.40
1000;51;1000;708;32;292;70.80
1000;52;1000;716;50;284;71.60
1000;53;1000;718;44;282;71.80
1000;54;1000;726;35;274;72.60
1000;55;1000;696;44;304;69.60
1000;56;1000;700;34;300;70.00
1000;57;1000;702;33;298;70.20
1000;58;1000;723;45;277;72.30
1000;59;1000;709;38;291;70.90
1000;60;1000;696;34;304;69.60
1000;61;1000;713;35;287;71.30
1000;62;1000;713;34;287;71.30
1000;63;1000;726;43;274;72.60
1000;64;1000;706;42;294;70.60
1000;65;1000;730;35;270;73.00
1000;66;1000;714;42;286;71.40
1000;67;1000;709;38;291;70.90
1000;68;1000;705;35;295;70.50
1000;69;1000;725;35;275;72.50
1000;70;1000;704;36;296;70.40
1000;71;1000;736;41;264;73.60
1000;72;1000;745;38;255;74.50
1000;73;1000;692;49;308;69.20
1000;74;1000;721;44;279;72.10
1000;75;1000;713;39;287;71.30
1000;76;1000;712;44;288;71.20
1000;77;1000;708;37;292;70.80
1000;78;1000;718;28;282;71.80
1000;79;1000;691;23;309;69.10
1000;80;1000;723;41;277;72.30
1000;81;1000;724;40;276;72.40
1000;82;1000;706;42;294;70.60
1000;83;1000;722;32;278;72.20
1000;84;1000;720;33;280;72.00
1000;85;1000;717;37;283;71.70
1000;86;1000;692;33;308;69.20
1000;87;1000;728;37;272;72.80
1000;88;1000;703;44;297;70.30
1000;89;1000;717;46;283;71.70
1000;90;1000;700;42;300;70.00
1000;91;1000;703;36;297;70.30
1000;92;1000;710;27;290;71.00
1000;93;1000;709;43;291;70.90
1000;94;1000;721;41;279;72.10
1000;95;1000;734;38;266;73.40
1000;96;1000;701;40;299;70.10
1000;97;1000;734;43;266;73.40
1000;98;1000;704;46;296;70.40
1000;99;1000;692;33;308;69.20
1000;100;1000;727;41;273;72.70
